dt,name,code,score
2016.04.25,KB손해보험,'002550,4
2016.04.25,POSCO,'005490,4
2016.04.25,대림산업,'000210,4
2016.04.25,포스코대우,'047050,4
2016.04.22,LIG넥스원,'079550,4
2016.05.02,한국타이어,'161390,4
2016.05.02,보령제약,'003850,4
2016.05.02,KT,'030200,4
2016.05.02,롯데케미칼,'011170,4
2016.05.02,LG상사,'001120,4
2016.05.02,호텔신라,'008770,4
2016.04.29,에스원,'012750,4
2016.04.29,동양생명,'082640,4
2016.04.29,세아베스틸,'001430,2
2016.04.29,LG상사,'001120,4
2016.04.29,SK텔레콤,'017670,4
2016.04.29,한미약품,'128940,4
2016.04.29,SK텔레콤,'017670,4
2016.04.29,유한양행,'000100,4
2016.04.29,NAVER,'035420,4
2016.04.29,삼성SDI,'006400,4
2016.04.29,LG전자,'066570,4
2016.04.29,대한항공,'003490,4
2016.04.29,만도,'204320,4
2016.04.28,메리츠화재,'000060,2
2016.04.28,현대제철,'004020,4
2016.04.28,현대건설,'000720,4
2016.04.28,LG유플러스,'032640,4
2016.04.28,LG디스플레이,'034220,4
2016.04.28,휴비츠,'065510,4
2016.04.28,현대건설,'000720,4
2016.04.28,LG디스플레이,'034220,4
2016.05.09,CJ대한통운,'000120,4
2016.05.09,대현,'016090,4
2016.05.09,롯데쇼핑,'023530,4
2016.05.09,OCI,'010060,4
2016.05.04,바텍,'043150,4
2016.05.04,유나이티드제약,'033270,4
2016.05.04,코웨이,'021240,4
2016.05.04,민앤지,'214180,4
2016.05.04,대봉엘에스,'078140,4
2016.05.04,OCI,'010060,4
2016.05.04,코리안리,'003690,4
2016.05.04,파트론,'091700,4
2016.05.04,현대백화점,'069960,4
2016.05.03,아모레퍼시픽,'090430,4
2016.05.03,메리츠종금증권,'008560,4
2016.05.03,GS홈쇼핑,'028150,4
2016.05.03,신세계푸드,'031440,4
2016.05.03,한화테크윈,'012450,4
2016.05.03,SK네트웍스,'001740,4
2016.05.03,동아에스티,'170900,4
2016.05.03,GS홈쇼핑,'028150,4
2016.05.03,아모레퍼시픽,'090430,4
2016.05.02,현대해상,'001450,4
2016.05.02,삼성화재,'000810,4
2016.05.02,동부화재,'005830,4
2016.05.02,한전KPS,'051600,2
2016.05.02,KT,'030200,4
2016.05.02,대우건설,'047040,4
2016.05.02,맥쿼리인프라,'088980,4
2016.05.02,삼성중공업,'010140,2
2016.05.12,인터로조,'119610,4
2016.05.12,GS리테일,'007070,4
2016.05.12,와이지엔터테인먼트,'122870,4
2016.05.12,한국전력,'015760,4
2016.05.12,컴투스,'078340,4
2016.05.12,게임빌,'063080,4
2016.05.12,한화생명,'088350,4
2016.05.12,SKC,'011790,4
2016.05.11,인바디,'041830,4
2016.05.11,CJ E&amp;M,'130960,4
2016.05.11,CJ제일제당,'097950,4
2016.05.11,심텍,'222800,4
2016.05.11,종근당홀딩스,'001630,4
2016.05.11,인바디,'041830,4
2016.05.11,CJ제일제당,'097950,4
2016.05.11,삼익THK,'004380,4
2016.05.10,코스맥스,'192820,4
